State,County,"INVENTORY OF HOGS: (1,000 OR MORE HEAD)"
MINNESOTA,MORRISON,"56,536"
INDIANA,BARTHOLOMEW,"56,600"
ARKANSAS,HOWARD,"56,601"
SOUTH DAKOTA,BEADLE,"56,871"
MISSISSIPPI,CHICKASAW,"57,100"
NEBRASKA,BUTLER,"57,344"
MINNESOTA,STEARNS,"57,500"
NEBRASKA,SCOTTS BLUFF,"57,678"
INDIANA,TIPPECANOE,"57,888"
OHIO,SENECA,"58,400"
PENNSYLVANIA,YORK,"58,600"
OHIO,COSHOCTON,"59,562"
MINNESOTA,CHIPPEWA,"59,653"
INDIANA,ELKHART,"59,908"
IOWA,JACKSON,"60,731"
PENNSYLVANIA,TIOGA,"60,737"
ILLINOIS,CHRISTIAN,"60,806"
IOWA,LEE,"61,796"
TEXAS,LIPSCOMB,"62,469"
ILLINOIS,HENRY,"62,880"
ILLINOIS,LAWRENCE,"63,000"
SOUTH CAROLINA,DILLON,"63,035"
IOWA,DECATUR,"63,213"
IOWA,JONES,"64,230"
IOWA,WAPELLO,"65,200"
OHIO,HANCOCK,"66,000"
NEBRASKA,STANTON,"67,251"
MICHIGAN,OTTAWA,"67,565"
SOUTH DAKOTA,MOODY,"67,678"
INDIANA,TIPTON,"67,700"
IOWA,MUSCATINE,"67,985"
INDIANA,HUNTINGTON,"68,045"
MINNESOTA,POPE,"68,327"
PENNSYLVANIA,BERKS,"68,397"
MISSISSIPPI,CLAY,"68,500"
PENNSYLVANIA,MIFFLIN,"69,383"
ILLINOIS,BUREAU,"69,553"
ILLINOIS,LOGAN,"69,600"
PENNSYLVANIA,UNION,"69,700"
ILLINOIS,FULTON,"69,737"
ILLINOIS,CASS,"70,551"
ILLINOIS,CARROLL,"70,709"
PENNSYLVANIA,SNYDER,"70,973"
PENNSYLVANIA,FRANKLIN,"70,983"
IOWA,HENRY,"71,684"
INDIANA,RUSH,"71,832"
TENNESSEE,WEAKLEY,"74,274"
MICHIGAN,BRANCH,"74,421"
NEBRASKA,COLFAX,"75,457"
MINNESOTA,SIBLEY,"76,115"
INDIANA,PUTNAM,"77,026"
SOUTH DAKOTA,MCCOOK,"77,207"
SOUTH DAKOTA,TURNER,"77,728"
ILLINOIS,CLARK,"79,492"
NORTH CAROLINA,HOKE,"80,708"
ILLINOIS,WHITESIDE,"82,798"
MISSOURI,MONROE,"82,800"
IOWA,POWESHIEK,"83,014"
NORTH CAROLINA,HARNETT,"83,260"
OHIO,HARDIN,"85,165"
MISSOURI,MORGAN,"86,180"
NORTH CAROLINA,CUMBERLAND,"86,206"
IOWA,POTTAWATTAMIE,"88,202"
ILLINOIS,CUMBERLAND,"88,553"
ILLINOIS,MCDONOUGH,"88,756"
ILLINOIS,WAYNE,"89,140"
NORTH CAROLINA,EDGECOMBE,"89,435"
