Company Name,Category,Street_Address,City,State_Parsed,ZIP_Parsed,Lat / Long,Capacity
Consolidated Grain & Barge Co.,Grain,1047 S. 15th,Louisville,KY,40210,,"2,297,000 bus up"
Archer Daniels Midland Co. (Adm Grain Co.),Grain,"105 E. Harrison, P.O. Box 209",Attica,IN,47918,,"2,021,546 bus up"
Landus Cooperative,Grain,"105 Fourth Ave. S.W., P.O. Box 47",Dayton,IA,50530,,"825,000 bus up; 936,000 bus fl."
Assumption Co-Op Grain Co.,Grain,105 Fourth St.,Westervelt,IL,62565,,"1,695,000 bus up; 90,000 bus fl."
Landus Cooperative,Grain,"105 Garfield Ave., P.O. Box 35",Farnhamville,IA,50538,,"7,284,000 bus up"
Mennel Grain – Nevada,Grain,105 S. Main St.,Nevada,OH,44849,,"905,000 bus up."
La Crosse Milling Co.,Specialty Mills,"105 State Hwy. 35, P.O. Box 86",Cochrane,WI,54622,,
La Crosse Milling Co.,Specialty Mills,"105 State Hwy. 35, P.O. Box 86",Cochrane,WI,54622,,
"Viterra Usa Grain, Llc",Grain,105 Towles,Henderson,KY,42420,,"2,554,000 bus up."
"Viterra Usa Grain, Llc",Grain,1050 Kerper Blvd.,Dubuque,IA,52001,,"697,000 bus up"
"Michigan Agricultural Commodities, Inc.",Grain,"1050 Ogden St., P.O. Box 218",Jasper,MI,49248,,"850,000 bus up; 325,000 bus fl."
Archer Daniels Midland Co.,Grain,10520 Wolcott Dr.,Kansas City,KS,66109,,"2,526,000 bus up"
"Cargill, Incorporated",Grain,106 E. Depot St.,Litchfield,MN,55355,,"475,000 bus up."
Consolidated Grain & Barge Co.,Grain,106 Hwy. 131 S.,Vidalia,LA,71373,,"2,085,000 bus up."
"Riceland Foods, Inc.",Grain,106 Jones Island Rd,Griffithville,AR,72060,,"1,078,000 bus up."
Heartland Co-Op,Grain,106 Main St.,Boonville,IA,50038,,"2,217,000 bus up."
Pride Ag Resources,Grain,106 N.,Broadway Hanston,KS,67489,,"1,549,000 bus up"
Poinsett Rice & Grain,Grain,106 Walden Landing,Helena,AR,72342,,
"Viterra Usa Grain, Llc",Grain,1061 Red Rock Rd. St.,Paul,MN,55119,,"273,000 bus up."
"Producer Ag, Llc",Grain,1063 W. 10th Ave.,Milan,KS,67105,,"3,000,000 bus up; 4,500,000 bus fl."
"Cargill, Incorporated",Grain,"1065 28th Rd., P.O. Box 341",Minden,NE,68959,,"3,163,000 bus up."
"New Cooperative, Inc.",Grain,"107 Fifth St. N.W., Box 156",Britt,IA,50423,,
Landus Cooperative,Grain,"107 Front St., P.O. Box 10",Dike,IA,50624,,"1,216,000 bus up."
"Cargill, Incorporated",Grain,107 S. Hickory Rte. 1,Langdon,KS,67583,,"156,000 bus up"
Heartland Co-Op,Grain,107 Second St.,Malcom,IA,50157,,"3,359,000 bus up; 615,000 bus fl."
"Brill, Inc.",Mix Plants,10741 Miller Rd.,Dallas,TX,75238,,
Wheat Montana Mill & Bakery,Flour mills,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,,
Wheat Montana Mill & Bakery,Specialty Mills,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,,
Wheat Montana Mill & Bakery,Specialty Mills,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,,
Wheat Montana Mill & Bakery,Mix Plants,"10778 Hwy. 287, P.O. Box 1270",Three Forks,MT,59752,,
Consolidated Grain & Barge Co.,Grain,1079 N. Second St.,Memphis,TN,38109,,"1,874,000 bus up"
Alliance Grain Co.,Grain,"108 N. Main St., P.O. Box 8",Roberts,IL,60962,,"1,675,000 bus up."
Archer Daniels Midland Co.,Grain,108 Railroad St.,Patoka,IL,62875,,"1,559,000 bus up; 1,112,000 bus fl"
Stafford County Flour Mills Co.,Flour mills,108 S. Church St.,Hudson,KS,67545,,"4,000 cwts"
Stafford County Flour Mills Co.,Mix Plants,108 S. Church St.,Hudson,KS,67545,,
Northern Country Coop,Grain,"108 S. Everett St., P.O. Box 120",LeRoy,MN,55951,,"1,698,000 bus up."
Pride Ag Resources,Grain,10884 102 Rd.,Howell,KS,67801,,"1,704,000 bus up"
"Michigan Agricultural Commodities, Inc.",Grain,"10895 E. U.S. 223, P.O. Box 96",Blissfield,MI,49228,,"3,890,000 bus up; 1,300,000 bus fl."
"Riceland Foods, Inc.",Grain,109 Cross St #819,Earle,AR,72331,,"3,104,000 bus up."
Archer Daniels Midland Co.,Grain,109 N. Chestnut St.,Farina,IL,62838,,"4,577,517 bus up; 6,500,000 bus fl."
Agtegra Cooperative,Grain,"109 Railroad Ave., P.O. Box 640",McLaughlin,SD,57642,,"4,700,000 bus up"
Farmers Cooperative,Grain,1090 S. Court St.,Florence,AL,35630,,"3,267,000 bus up."
Landus Cooperative,Grain,1095 T Ave.,Boone,IA,50036,,"6,563,000 bus up; 3,088,000 bus fl."
Mars Foods Usa,Specialty Mills,1098 N. Broadway St.,Greenville,MS,38702,,
"Columbia Grain International, Llc",Grain,10990 Arlen Lee Dr.,Oakes,ND,58474,,"6,271,000 bus up."
Prairie Flour Mills Ltd.,Flour mills,"11 Janzen Rd., P.O. Box 301",Elie,MB,R0H 0H0,,"8,000 cwts"
Prairie Flour Mills Ltd.,Specialty Mills,"11 Janzen Rd., P.O. Box 301",Elie,MB,R0H 0H0,,
Mennel Milling & Bakery Mix,Flour mills,11 N. Brady Ave.,Newton,NC,28658,,"8,500 cwts"
Mennel Milling & Bakery Mix,Specialty Mills,11 N. Brady Ave.,Newton,NC,28658,,"12,000 bus."
Mennel Milling & Bakery Mix,Mix Plants,11 N. Brady Ave.,Newton,NC,28658,,
Alliance Grain Co.,Grain,"11 S. Main, P.O. Box 208",Herscher,IL,60941,,"1,773,000 bus up."
"Greenfield Holdings, Llc",Grain,11 State Hwy. 609,Delhi,LA,71232,,"1,600,000 bus up."
Landus Cooperative,Grain,"110 Audubon St., P.O. Box 67",Adair,IA,50002,,"6,318,000 bus up; 944,000 bus fl."
Adm Milling Co.,Grain,110 E. 12th St.,Mendota,IL,61342,,
Archer Daniels Midland Co.,Grain,110 E. 12th St.,Mendota,IL,61342,,"4,200,000 bus up; 1,800,000 bus fl"
Adm Milling Co.,Flour mills,110 E. 12th St.,Mendota,IL,61342,,"30,000 cwts"
Archer Daniels Midland Co.,Grain,110 Locust St.,Paducah,KY,42001,,"225,000 bus up"
"Ray-Carroll County Grain Growers, Inc.",Grain,110 N. Railroad,Mayview,MO,64071,,"34,000 bus up."
Landus Cooperative,Grain,110 Railroad St.,Woodward,IA,50276,,"1,570,000 bus up; 1,564,000 bus fl."
Mennel Grain – Wharton,Grain,110 Railroad St.,Wharton,OH,43359,,"847,000 bus up."
"Arrowhead Mills, Inc.",Flour mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,260 cwts
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,30 cwts
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,30 cwts
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,30 cwts.
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,"12,000 bus"
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,30 cwts
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,30 cwts.
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,10 cwts.
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,200 cwts
"Arrowhead Mills, Inc.",Specialty Mills,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,"240,000 bus"
"Arrowhead Mills, Inc.",Mix Plants,"110 S. Lawton, P.O. Box 2059",Hereford,TX,79045,,
Knappen Milling Co.,Flour mills,"110 S. Water St., P.O. Box 245",Augusta,MI,49012,,"4,800 cwts."
Knappen Milling Co.,Specialty Mills,"110 S. Water St., P.O. Box 245",Augusta,MI,49012,,"2,000 cwts"
Knappen Milling Co.,Specialty Mills,"110 S. Water St., P.O. Box 245",Augusta,MI,49012,,
Knappen Milling Co.,Specialty Mills,"110 S. Water St., P.O. Box 245",Augusta,MI,49012,,
Sunrise Cooperative,Grain,1100 Burkholder Rd.,Clyde,OH,43410,,"8,200,000 bus up."
Ingredion,Specialty Mills,1100 Green Valley Rd.,London,ON,N6N 1E3,,
"Cargill, Incorporated",Specialty Mills,1100 Indianapolis Blvd.,Hammond,IN,46320,,
"Attebury Grain, Inc.",Grain,1100 Kell Blvd.,Wichita Falls,TX,76301,,"1,784,000 bus up"
Ardent Mills,Grain,1100 S. Main St.,Galena Park,TX,77547,,"720,000 bus up."
Ardent Mills,Flour mills,1100 S. Main St.,Galena Park,TX,77547,,"11,000 cwts."
Frenchman Valley Farmers Co-Op,Grain,"1101 S. Hwy. 71, P.O. Box 520",Kimball,NE,69145,,"1,800,000 bus up; 3,500,000 bus fl"
"Riceland Foods, Inc.",Grain,1101 W Riceland St,Hazen,AR,72064,,"4,042,000 bus up."
"Bunge North America, Llc",Grain,1102 W. 18th St.,Indianapolis,IN,46202,,"3,173,000 bus up; 3,813,000 bus fl."
Grain Craft,Grain,"11040 Lombard St., Municipal Terminal No. 4",Portland,OR,97203,,"368,000 bus up."
Grain Craft,Flour mills,11040 N. Lombard St.,Municipal Terminal No. Four Portland,OR,97203,,"8,700 cwts"
Archer Daniels Midland Co.,Grain,11077 River Rd,Ama,LA,70031,,"5,785,000 bus up."
Archer Daniels Midland Co.,Grain,11079 River Rd,Ama,LA,70031,,"5,785,000 bus up."
Landus Cooperative,Grain,"111 First St., P.O. Box 296",Newell,IA,50568,,"2,597,000 bus up."
"Cargill, Incorporated",Grain,111 Main St.,Meredosia,IL,62665,,"2,172,000 bus up."
Agp,Grain,111 S.,Wooding Aberdeen,WA,98520,,"3,000,000 bus up"
Siemer Milling Co.,Grain,"111 W. Main St., P.O. Box 670",Teutopolis,IL,62467,,"3,620,000 bus up."
Siemer Milling Co.,Flour mills,"111 W. Main St., P.O. Box 670",Teutopolis,IL,62467,,"10,500 cwts"
Siemer Milling Co.,Specialty Mills,"111 W. Main St., P.O. Box 670",Teutopolis,IL,62467,,"3,000 cwts."
"Riceland Foods, Inc.",Grain,111 Wooten St,Corning,AR,72422,,"4,733,000 bus up."
"Bruce Oakley, Inc.",Grain,1110 Hwy. 9,Morrilton,AR,72110,,"509,000 bus up."
"Attebury Grain, Inc. (Pullman)",Grain,11101 S.E.,Third Amarillo,TX,79118,,"1,297,000 bus up;"
"Viterra Usa Grain, Llc",Grain,"1111 Bedke Blvd., P.O. Box 1089",Burley,ID,83318,,"1,005,000 bus up; 1,082,000 bus fl."
The Krusteaz Co.,Flour mills,1111 Kretschmer Dr.,Manhattan,KS,66502,,
The Krusteaz Co.,Mix Plants,1111 Kretschmer Dr.,Manhattan,KS,66502,,
"Cargill, Incorporated",Grain,"1112 N. Halstead Rd., P.O. Box 2623",Salina,KS,67402,,"30,289,000 bus up"
Archer Daniels Midland Co.,Grain,1120 County Rd.,Clarkfield,MN,56223,,"7,171,000 bus up"
Adm Milling Co.,Grain,1120 King St.,Chattanooga,TN,37403,,"2,000,000 bus up"
Adm Milling Co.,Flour mills,1120 King St.,Chattanooga,TN,37403,,"13,500 cwts."
Butte County Rice Growers Association,Grain,"1121 Richvale Hwy., P.O. Box 128",Richvale,CA,95974,,"5,500,000 bus up; 5,000,000 bus fl."
Heartland Co-Op,Grain,114 East Gardner,Bovina,TX,79009,,"6,500,000 bus up."
"Attebury Grain, Inc.",Grain,11410 Energy Center Rd.,Pampa,TX,79065,,"1,100,000 bus up"
"Perdue Agribusiness Grain, Llc",Grain,11430 Oakland Dr.,Exmore,VA,23350,,"200,000 bus up"
"Viterra Usa Grain, Llc",Grain,11477 County Rd 550 E,Ladoga,IN,47954,,"6,095,000 bus up."
Landus Cooperative,Grain,"115 Main St., P.O. Box 79",Lytton,IA,50561,,"630,000 bus up; 936,000 bus fl."
King Milling Co.,Flour mills,115 S.,Broadway Lowell,MI,49331,,"17,000 cwts"
"Keller Grain, Inc.",Grain,1150 Hwy. 90 E.,Castroville,TX,78009,,"473,000 bus up."
"Kokomo Grain Co., Inc.",Grain,11505 S. Rd. 800 E.,Amboy,IN,46911,,"4,080,000 bus up; 11,000,000 bus fl."
"Perdue Agribusiness Grain, Llc",Grain,11545 Lynch Rd.,Lynch,MD,21678,,"1,400,000 bus up."
Adm Benson Quinn,Grain,"1155 Riverview Dr., P.O. Box 105",Winona,MN,55987,,"270,000 bus up"
"Columbia Grain International, Llc",Grain,"116 S. Dakota St., P.O. Box 606",Conrad,MT,59425,,"941,000 bus up."
"Perdue Agribusiness Grain, Llc",Grain,"11612 Molly Pitcher Hwy. S., P.O. Box 358",Greencastle,PA,17225,,"40,000 bus up."
"Columbia Grain International, Llc",Grain,117 First St. S.W.,Moore,MT,59646,,"4,400,000 bus up."
"Viterra Usa Grain, Llc",Grain,"117 S.W. First St., P.O. Box 61",Moore,MT,59464,,
Farmers Cooperative,Grain,117 Signal Point Rd.,Guntersville,AL,35976,,"1,827,000 bus up."
"Cofco International Grains Usa, Llc",Grain,11700 S. Torrence Ave.,Chicago,IL,60617,,"11,283,000 bus up; 1,084,000 bus fl."
"Perdue Agribusiness Grain, Llc",Grain,1174 E. Ramsey Rd.,Vincennes,IN,47591,,"1,269,000 bus up"
Agwrx Cooperative,Grain,118 E. Main St.,Florence,SD,57235,,
"Premier Cooperative, Inc.",Grain,"118 E. Market, P.O. Box 19",Sadorus,IL,61872,,"2,248,415 bus up; 86,585 bus fl."
Landus Cooperative,Grain,"118 N. Vankirk St., P.O. Box 568",Latimer,IA,50452,,"1,941,000 bus up; 1,405,000 bus fl."
"Topflight Grain Coop, Inc.",Grain,118 S. Main St.,Milmine,IL,61855,,"7,552,500 bus up."
Heartland Co-Op,Grain,118 S.E. 18th St.,Des Moines,IA,50317,,"1,664,000 bus up"
Small Valley Milling,Flour mills,1188 Mountain House Rd.,Halifax,PA,17032,,16 cwts
Small Valley Milling,Specialty Mills,1188 Mountain House Rd.,Halifax,PA,17032,,"50,000 cwts"
Small Valley Milling,Specialty Mills,1188 Mountain House Rd.,Halifax,PA,17032,,
Small Valley Milling,Specialty Mills,1188 Mountain House Rd.,Halifax,PA,17032,,
Small Valley Milling,Specialty Mills,1188 Mountain House Rd.,Halifax,PA,17032,,
"Pioneer Frozen Foods South Carolina, Llc",Mix Plants,11891 C.R. Koon Hwy.,Prosperity,SC,29127,,
Madison Farmers Elevator Co.,Grain,"119 N. Farmers Ave., P.O. Box 228",Madison,SD,57042,,"7,450,000 bus up"
The Scoular Company,Grain,119044 German Gulch Rd.,Silver Bow (Butte),MT,59750,,"980,000 bus up"
Thresher Artisan Wheat — Rockford,Grain,1193 W. Hwy. 39,Blackfoot,ID,83221,,"1,978,000 bus up; 1,000,000 bus fl."
"Viterra Usa Grain, Llc",Grain,11997 Hwy. 287,Etter,TX,79013,,"4,555,600 bus up."
"New Cooperative, Inc.",Grain,"12 First Ave. S.E., P.O. Box 49",West Bend,IA,50597,,"5,460,000 bus up"
Agwrx Cooperative,Grain,12 Railway Ave.,Garden City,SD,57236,,
"Bunge North America, Llc",Grain,120 E. Broadway St.,Morristown,IN,46161,,"3,323,000 bus up."
"Cargill, Incorporated",Grain,120 Kiesel Ave.,Alpha,MN,56111,,"600,000 bus up."
